,fips,emp_combined,merchants_all,spend_all
0,1003,0.001396168582375477,-0.23357129906542057,-0.06342737797317456
1,1015,-0.04328136781609195,-0.13508096573208722,-0.030889627143457114
2,1053,0.01653719923371647,,-0.22841326985619056
3,1073,-0.10560715480459756,-0.1604479657320872,-0.0365000064567619
4,1081,-0.11179819923371644,,-0.13975453922003178
5,1089,-0.09333485440613035,-0.19121156074766352,-0.13238540504641583
6,1097,-0.016693859003831406,-0.16725786915887841,-0.10493288561742857
7,1101,-0.10640669731800771,-0.16360745794392512,-0.08100488236765079
8,1117,-0.0884855095785441,,-0.044390403313015914
9,1125,-0.14043824176245207,-0.1584516822429906,-0.11438346999688881
10,2090,-0.13742490421455938,,
11,2170,-0.050381337164750975,-0.14391068535825532,0.012672984258412668
12,4001,-0.027192681992337178,,-0.07548456196025395
13,4003,-0.03652315111111108,,-0.06010417169015872
14,4005,-0.19025808429118762,,-0.014369263289523863
15,4007,-0.03425902498084293,,-0.1290351937006032
16,4013,-0.060580563218390795,-0.19779354236760138,-0.0746962990914889
17,4015,-0.07039329501915706,,-0.07922025414793657
18,4019,-0.08304468199233718,-0.20467737133956387,-0.0631896434509841
19,4021,-0.08635197701149425,,-0.08434858739650791
20,4023,-0.09913565134099615,,-0.10800334264031743
21,4025,-0.055484157088122606,-0.21679766978193146,-0.09665079681936507
22,4027,-0.1893050268199234,,-0.06019360316377774
23,5007,-0.05744731034482755,-0.1917368878504674,
24,5031,-0.10564849042145603,,-0.0047096442504444514
25,5051,-0.1477356245210727,,-0.080516511124127
26,5069,-0.16875759386973166,-0.1615381308411215,0.08120533322857143
27,5119,-0.04335683831417627,-0.16598917757009346,0.089923362195873
28,5121,0.02884023754789273,,
29,5125,-0.07976527586206897,,
30,5139,0.009489593869731803,,
31,5143,-0.023928328735632193,-0.1881828037383178,
32,6001,-0.10597515708812262,-0.2802954395638629,-0.1349435428687936
33,6005,-0.11801552873563215,,-0.17978334309488883
34,6007,-0.06052276628352491,-0.31733660436137084,-0.07924072615549206
35,6009,-0.04733036781609192,,-0.02225837481682542
36,6013,-0.1170647126436782,-0.2811421931464171,-0.17141126666063494
37,6017,-0.12180596934865905,-0.21781011744548298,-0.06081101895936502
38,6019,-0.08724220498084294,-0.20558828971962614,-0.06390569505622226
39,6021,-0.042395456704980836,,0.07246546341330158
40,6025,-0.11481260153256713,-0.26227348093457953,-0.07222813014631743
41,6029,-0.0633092337164751,-0.25747664485981286,-0.13197651785746026
42,6031,-0.11374574712643681,,-0.15914757534844437
43,6033,-0.09774602337164753,,-0.11493359995936508
44,6037,-0.10056877394636012,-0.24886728660436158,-0.17792590833117464
45,6039,-0.09996887356321842,,-0.11367761931485722
46,6041,-0.13799172145593866,,-0.1456926219745396
47,6045,-0.09574280076628353,-0.2629608535825544,-0.0836417777613968
48,6047,-0.10526766283524899,,-0.07173091710473009
49,6053,-0.10779883141762452,-0.318786339563863,-0.12279434660888895
50,6055,-0.14844969731800764,,-0.1396833051447301
51,6057,-0.1602946206896552,,-0.101282634976508
52,6059,-0.07307778160919544,-0.23673289719626175,-0.14784635512866665
53,6061,-0.08507264367816088,-0.25575679750778807,-0.10006422866815882
54,6065,-0.10813242145593864,-0.2582796610591903,-0.13222222532574618
55,6067,-0.08061688544061305,-0.2357339968847352,-0.10317947704225397
56,6069,-0.14534369348659001,,-0.1085883750431459
57,6071,-0.07353680076628354,-0.22257280532710286,-0.13364985416307926
58,6073,-0.08940018390804597,-0.2545766978193148,-0.1743027013104445
59,6075,-0.17719402298850584,-0.3691468816199379,-0.20570132962390467
60,6077,-0.05831478544061304,-0.2447828255451716,-0.12865739688539693
61,6079,-0.09790976245210713,-0.2592635732087227,-0.08634282652813653
62,6081,-0.12004381149425289,-0.31653183520249234,-0.18331181499844465
63,6083,-0.08837933716475099,-0.2505210654205609,-0.16968269840920625
64,6085,-0.09394919923371654,-0.317143707165109,-0.12220103842175224
65,6087,-0.171496049808429,-0.2853706292834891,-0.12490507279286034
66,6089,-0.05977914559386971,-0.34534023052959495,-0.12807737123965077
67,6095,-0.12618503065134085,-0.2749195034267912,-0.17218758366219056
68,6097,-0.1016558122605365,-0.2459141962616823,-0.11666440290917464
69,6099,-0.11081115708812259,-0.24163312772585688,
70,6101,-0.02360353256704981,,-0.15058234917650784
71,6107,-0.08648890804597699,-0.23036340809968847,-0.1216299049549207
72,6111,-0.08640037547892726,-0.2039556376947039,-0.15059132385752394
73,6113,-0.16827900383141753,,-0.13251146992911098
74,6115,-0.008768827586206894,,-0.12172726360765065
75,8001,-0.04777704597701149,-0.12552961059190032,-0.09258973970317463
76,8005,-0.0431627394636015,-0.20272193146417436,-0.13040230798758726
77,8013,-0.0981182107279694,-0.1510906355140188,-0.16655063439301585
78,8014,-0.07192972643678153,,-0.17917200040063502
79,8031,-0.05965947892720305,-0.23699167725856707,-0.11576551090073015
80,8035,-0.07153419731800771,-0.21857971962616823,-0.09613754591174613
81,8041,-0.06873192988505747,-0.18755702180685369,-0.13482961576790478
82,8059,-0.028592012911877407,-0.19668095171339564,-0.11491157144888885
83,8067,-0.22331754789272037,,-0.16679441312317453
84,8069,-0.0884768045977011,-0.24322437383177561,-0.13987708876377783
85,8077,-0.05042752107279694,,-0.11627157610758404
86,8097,-0.23707009195402298,,-0.16993748238441264
87,8101,-0.010419524904214564,-0.1955440348909657,-0.07892662851549209
88,8117,-0.101655674329502,,-0.007086527029777762
89,8123,-0.020535192337164738,-0.2766056697819313,-0.1308756795279682
90,9001,-0.08823067011494257,-0.2731095327102805,-0.10586818682253954
91,9003,-0.08979332528735633,-0.23047989719626183,-0.14841692030888876
92,9005,-0.12367559425287357,,0.023902875175523777
93,9007,-0.0758056704980843,,
94,9009,-0.08420655555555559,-0.26940613395638646,
95,9011,-0.1007202659003832,-0.32047706230529616,-0.030274749187650878
96,9013,-0.11059710344827584,,-0.14502321910034913
97,9015,-0.12642052107279697,,
98,10001,-0.13623807279693478,,-0.14110441332825377
99,10003,-0.07667315325670493,-0.2562848909657322,-0.12327502887526971
100,10005,-0.04861211494252872,-0.23995235202492232,-0.2068137138958728
101,11001,-0.10403468965517249,-0.3439220934579443,-0.2820654284898415
102,12001,-0.06733990421455938,-0.22625770623052963,-0.06567613368336508
103,12005,0.016609942528735648,,-0.046205606057425394
104,12009,-0.037139249042145585,-0.16394945794392513,-0.10282735262444448
105,12011,-0.0808463141762453,-0.21861197844236732,-0.16108133343841272
106,12015,-0.07250308429118772,,-0.11511189213450788
107,12017,-0.051347090804597734,-0.2573248006230529,-0.024139841081682534
108,12019,-0.06119447892720313,,-0.04140787306692061
109,12021,-0.09295318007662844,-0.2547042866043614,-0.18972307658815873
110,12031,-0.07357615325670491,-0.1872613280373832,-0.016124236835120632
111,12035,-0.03564223984674331,,-0.025761282639746055
112,12037,0.014701605363984672,,
113,12053,-0.09311991877394638,-0.25738526479750773,-0.14197813929358724
114,12055,-0.04872024318390807,,
115,12057,-0.03555004214559386,-0.2358645482866043,-0.10015909434856504
116,12061,-0.10150616475095783,,-0.16941255846387293
117,12063,-0.036670164750957836,,0.10297756822965078
118,12069,-0.04734398850574712,-0.20881680280373835,-0.10570070063523807
119,12071,-0.07603201915708814,-0.18948668535825533,-0.10229668230980954
120,12075,-0.03568247892720305,,-0.005711447649841264
121,12081,-0.020285995402298848,,
122,12083,-0.045720693486590004,-0.23164517133956394,-0.0980950296577752
123,12085,-0.025500277011494245,-0.15749899065420567,-0.19089883434955557
124,12086,-0.06916143517241376,-0.2169528130841121,-0.16229778687107932
125,12087,-0.13190383524904215,,-0.1270123490098413
126,12089,-0.033222103448275836,,-0.07407019663057143
127,12091,-0.05156738122605362,-0.2253966573208722,-0.10522681578577772
128,12093,-0.04590062068965519,,0.04437911002952381
129,12095,-0.10844619923371655,-0.21583361682242994,-0.12724638740066668
130,12097,-0.0917792988505747,-0.2465843613707164,-0.17146589874920617
131,12099,-0.042006990421455954,-0.18850084112149526,-0.14337057463111094
132,12101,-0.08943270766283527,-0.20014361370716496,-0.07191301567019047
133,12103,-0.05300822605363985,-0.24500850778816183,-0.12440158404914281
134,12105,-0.027591499616858226,-0.20376071526479753,-0.06301669199098417
135,12107,-0.14210289501915704,,0.008465609347904763
136,12115,-0.04995532452107284,-0.258260013084112,-0.13233256912415556
137,12117,-0.057551567049808426,-0.2195613489096573,-0.12968646655923813
138,12119,-0.07079540229885065,,-0.10777637455939683
139,12121,-0.06814612260536396,,-0.009914923304434912
140,12127,-0.0666632030651341,-0.20536035607476655,-0.08173116519736509
141,13015,-0.012818651340996171,-0.11675240498442362,-0.05963818087558724
142,13021,0.013802429118773935,,-0.13549453994000005
143,13045,-0.017721731034482765,-0.15360642367601232,-0.05657593055050796
144,13051,-0.05663946743295017,,-0.15500479639873024
145,13057,-0.07748399134099616,-0.17876519937694713,-0.0883661897561365
146,13059,-0.18582245210727966,,-0.05936371119800322
147,13063,-0.0859478176245211,-0.1683248411214955,-0.041108656130771415
148,13067,-0.05215091570881223,-0.20351765732087235,-0.12004495855114275
149,13077,-0.05780095785440611,,-0.10249341267073012
150,13089,-0.08447747126436786,-0.2110036728971964,-0.10404562520447627
151,13097,-0.08009972413793098,,0.028071507983460326
152,13113,-0.07007254789272037,-0.17070920249221175,-0.07137025435234924
153,13115,0.04028116858237549,,
154,13121,-0.0928276770114943,-0.2276858598130843,-0.10954475852946037
155,13135,-0.05743211877394637,-0.22985549221183765,-0.09419626056387934
156,13137,-0.12553130957854408,,-0.1322394948725714
157,13139,-0.021021084674329497,-0.1517604205607477,-0.11346578419111111
158,13151,-0.11547974444444452,-0.2545160436137074,-0.06691653038885713
159,13153,-0.029333486590038305,-0.21744963862928363,-0.06717325097965075
160,13157,-0.05078747126436785,,-0.02329020316631745
161,13185,-0.1601221302681992,-0.2900919376947039,-0.060270930093333376
162,13215,-0.01958850191570879,,-0.0037256646063396834
163,13217,-0.15582896858237547,,-0.07897421948853967
164,13219,-0.13180861302681995,,-0.07591955533999999
165,13245,-0.0817849501915709,,-0.06813630469936499
166,13247,-0.1577226053639847,,-0.09998253340822229
167,13259,-0.016071809578544052,,
168,13275,-0.02809877394636017,,0.0773460604837778
169,13277,-0.07979275095785444,,
170,13297,-0.036548123754789254,,-0.003526974567333322
171,13305,-0.14499554363984674,,0.0050038736599682596
172,13313,-0.030589731800766278,,-0.06916791695644442
173,15001,-0.15363262068965514,-0.26153972274143283,-0.0029014703958412606
174,15003,-0.26089541762452123,-0.2469745887850462,-0.054924755842730176
175,15007,-0.23062493869731812,-0.36171685358255395,
176,16001,-0.08486862068965513,-0.20358468224299062,0.009569257270317454
177,16027,-0.043392566283524905,-0.20938009314641773,
178,16065,-0.0842488927203066,,-0.055362260363301594
179,17019,-0.12374880076628353,,
180,17029,-0.1421117088122605,,
181,17031,-0.07323027969348654,-0.27334454828660404,-0.16289795150793654
182,17037,-0.02691413295019159,,-0.13527278126761907
183,17043,-0.049674272030651355,-0.2811959813084107,-0.16175955538031744
184,17045,-0.017019257088122602,,
185,17075,-0.08587431800766294,,
186,17081,-0.15098798850574707,,
187,17089,-0.06788213026819917,-0.2766441744548288,-0.1485130824543174
188,17093,-0.05547559463601535,,-0.08466692069553022
189,17097,-0.0656190038314176,-0.25487775700934606,-0.1564740193015238
190,17099,-0.11489181226053645,,-0.14463662866622215
191,17111,-0.03558992605363983,-0.27516329595015576,
192,17113,-0.03389203448275862,,
193,17119,-0.07481435593869731,-0.17851176635514004,-0.029011399991111082
194,17143,-0.030057710344827588,,-0.10578867939965082
195,17167,-0.1498350199233717,-0.19852002803738336,-0.06857461599266666
196,17179,-0.05049705363984674,,-0.0924207589320635
197,17197,-0.04864008038314178,-0.28788676012461073,-0.2226694600161904
198,17201,-0.02304096475095784,-0.2445230529595016,-0.14367212717301578
199,18001,-0.06613208697318011,,
200,18003,-0.11086721839080452,,
201,18005,-0.06948587739463602,,-0.08583336529523809
202,18011,-0.049939591570881244,,
203,18033,-0.11132977011494252,,
204,18039,-0.044597321839080425,-0.20177809968847357,
205,18043,-0.048984399233716454,,0.006141119690193633
206,18049,-0.024878850038314165,,
207,18057,-0.07412064942528737,-0.24958199283489071,
208,18059,0.044214160919540224,,0.17524190031079354
209,18063,-0.0827820229885057,,
210,18067,-0.17432411494252892,,
211,18069,-0.12169003065134097,,
212,18071,-0.1483895528735632,,-0.06483145702066656
213,18081,-0.07970982758620686,-0.2020167912772585,
214,18089,-0.06656716704980846,-0.31007236760124635,
215,18091,-0.06523080459770113,-0.29041655140186906,-0.07708077787936511
216,18095,-0.09459473563218385,,
217,18097,-0.04771899233716475,-0.225272579439252,
218,18109,-0.07192878544061301,,
219,18123,-0.028168766283524917,,
220,18127,-0.05564360153256701,-0.3094735202492211,
221,18163,-0.05670270881226051,-0.17475037071651095,0.11773766016069837
222,18167,-0.13844684597701137,-0.17809262679127716,
223,18177,-0.1279896283524905,,-0.27265999193272966
224,19049,0.013234517241379308,,-0.1521378189134286
225,19057,-0.017653111111111112,,
226,19101,-0.1082829885057471,,
227,19153,-0.0670498850574713,-0.19464988785046747,-0.175860336846984
228,19155,-0.02976456781609195,-0.12292010591900308,
229,19169,0.031544563218390824,,-0.17165603199206347
230,20045,-0.06238285440613024,,-0.11657092091746037
231,20057,-0.015164076628352504,,-0.0394535873044127
232,20091,-0.04768145977011493,-0.1575609626168225,
233,20103,-0.07016445593869736,,
234,20121,-0.08812902681992338,,
235,20155,-0.12123227969348663,,0.07195892361596824
236,20173,-0.11024605747126442,-0.193377339563863,0.004151542787650803
237,20177,-0.15085189272030658,-0.31504375700934606,-0.06434718962034285
238,20209,-0.05761784674329502,,
239,21015,-0.1485699195402298,,
240,21037,-0.1314371272030651,-0.20590626168224313,-0.14966067298371444
241,21067,-0.09146345210727967,-0.24884532710280402,-0.03394164633650794
242,21073,-0.03843779118773946,,
243,21111,-0.07020235823754788,-0.2371920373831777,-0.1057774288352381
244,21117,-0.08612124406130275,-0.10838050467289718,-0.1506762195524444
245,21161,-0.06094701149425284,,
246,21179,0.01843948233716476,,-0.12755671089780962
247,21185,-0.041998681992337174,,-0.10603805618542854
248,21199,-0.10922544827586197,,-0.11879774298438085
249,21209,-0.15419195095785435,,-0.03965505056733337
250,21211,-0.1143409348659003,,0.04061720618095239
251,22033,-0.08867473946360152,-0.2007155202492211,-0.11925911096758737
252,22047,-0.15232765134099618,,
253,22051,-0.09712621072796931,-0.23868482866043617,-0.04651251125241263
254,22055,-0.11584408237547875,,-0.034684730049523875
255,22063,0.07375959770114941,-0.24741420031152664,0.034357447811650815
256,22071,-0.17358032567049828,-0.3486169595015579,-0.09738413008669845
257,22075,-0.06670693486590039,,
258,22079,-0.06907156781609192,,-0.018883795651746003
259,22105,-0.03954660536398465,,0.009903476223111114
260,22117,-0.04525412260536396,,
261,23001,-0.05251853639846744,,0.02487175258263492
262,23003,0.019532846743295022,,0.007660495158412698
263,23005,-0.08504378429118772,-0.4772823987538941,-0.05057642472101591
264,23009,0.01474593486590035,,0.005806149273682554
265,23011,-0.08451759003831416,,0.041107714530476215
266,23013,-0.019227216513409966,,-0.03809251523205713
267,23017,-0.1491275475095785,,-0.08555114276879364
268,23019,-0.12247316781609194,,-0.020127561580612706
269,23021,0.01202549425287357,,-0.06638767658888889
270,23027,-0.010529532567049806,,-0.004132101692666657
271,23031,-0.04989322873563219,,-0.051452571441650774
272,24003,-0.06508548160919546,-0.23177311526479738,-0.15090639079209536
273,24005,-0.061160057471264344,-0.2596924607476637,-0.0922937559415523
274,24009,-0.1003280766283525,,-0.07766922232885712
275,24013,-0.08029046819923376,,-0.10250542263895233
276,24015,-0.17409025708812273,,-0.16411212737682535
277,24017,-0.18418704597701158,-0.2368838940809968,
278,24019,-0.04859160536398469,,-0.07876417812888892
279,24021,-0.09109690038314174,-0.20328667912772588,-0.09581904388542858
280,24025,-0.08221023754789278,-0.21691229906542048,-0.035874294979269826
281,24027,-0.06750545210727972,-0.2617345794392526,-0.11988441566244434
282,24031,-0.0827463662835249,-0.28629968847351994,
283,24033,-0.08340376206896548,-0.22805644236760134,
284,24035,-0.07779534099616851,,0.018202506085396676
285,24041,-0.05687519080459771,,-0.04560221387247619
286,24043,-0.06845170881226054,-0.24370594080996885,-0.017672187343809542
287,24045,-0.0885911697318007,,
288,25001,-0.038598210727969304,-0.3022784797507786,-0.20434506387873017
289,25003,-0.21064187697318001,,-0.07028871484507972
290,25005,-0.10654827279693495,-0.22347472897196244,
291,25009,-0.10263645440613026,-0.3080251713395637,
292,25011,-0.11403640613026828,,
293,25013,-0.14870727203065134,-0.22667341962616833,-0.06731351084225397
294,25015,-0.14833328735632187,,
295,25017,-0.10523711877394634,-0.32669867289719606,-0.021909656836793672
296,25021,-0.07854853754789275,-0.28774441433021797,-0.05780381358784763
297,25023,-0.10842516091954026,-0.26350230716510886,
298,25025,-0.13632174291187732,-0.3431844049844243,-0.1364891396378792
299,25027,-0.09947960536398467,-0.29260437383177546,
300,26005,-0.14272622988505745,,
301,26015,-0.12019701149425284,,
302,26021,-0.133340509578544,,
303,26025,-0.10159862835249045,-0.23684067601246098,
304,26037,-0.11525671072796943,,0.03191854725184445
305,26045,-0.11646888160919534,,0.015179561769238098
306,26047,0.008798172911877391,,-0.140074819224
307,26049,-0.11513660229885057,-0.2651693769470407,0.028952200475777772
308,26051,-0.14524332183908054,,
309,26055,-0.011431969348659038,-0.2649409501557632,
310,26065,-0.08938124482758622,-0.2856294704049845,0.007422219078063477
311,26073,-0.12388172413793103,,
312,26075,-0.09363926973180077,,-0.05051562075295878
313,26077,-0.17275241685823756,,0.04480505750126978
314,26079,-0.15530291570881224,,
315,26081,-0.09735399042145591,-0.2897478193146415,
316,26091,-0.15287569348659014,,-0.08348330472031742
317,26093,-0.17589077777777787,-0.29264448909657365,-0.042884825674603194
318,26099,-0.12472081264367817,-0.26973873520249214,-0.08265788597717458
319,26111,-0.16441393869731777,-0.29590939595015553,-0.12108765731619041
320,26117,-0.09264767432950183,,0.13844709485057144
321,26121,-0.14782455310344836,,-0.0623764510009524
322,26125,-0.09290499272030645,-0.26102803115264805,0.03462077113698411
323,26139,-0.1213846333333333,-0.3060572585669782,0.011167841125428568
324,26145,-0.12168322605363979,,-0.018283460207612727
325,26161,-0.10979944444444455,,-0.16998754894158735
326,26163,-0.1314661532567051,-0.2593993831775702,0.005933691992698402
327,27003,-0.024208528735632204,-0.20864157943925232,-0.13422697506603173
328,27025,-0.04462555938697316,,-0.07403818742158728
329,27027,-0.0012930153256705016,,0.012050431829523813
330,27035,-0.0693970268199234,,-0.022070641132031756
331,27037,-0.05903181992337167,,-0.1232193837281587
332,27041,-0.13569491570881234,,-0.010545946135460319
333,27053,-0.10135992796934866,-0.22345429906542025,-0.14878453349714274
334,27067,0.007261403831417621,,-0.1947530157615872
335,27109,-0.11920241379310345,-0.22026941121495344,-0.09009066968193652
336,27115,-0.01173482758620689,,-0.08611873817936506
337,27123,-0.08242336398467437,-0.19304907788162007,-0.10304138425495231
338,27131,-0.048043072796934885,,-0.07601806356761907
339,27139,-0.1943134406130268,,-0.09793500016155555
340,27145,-0.11293570881226052,-0.11527431277258568,0.05552829874504761
341,27163,-0.11866704444444443,,-0.13565301811523495
342,27171,-0.08721532183908041,,-0.06359565388476196
343,28033,-0.0412772275862069,-0.18427026168224292,-0.017284536589333307
344,28047,-0.05660569003831417,,0.035108983854920624
345,28073,0.0068121417624521135,,-0.14351955574984127
346,28081,-0.13188481111111108,,-0.13616858099114276
